       d-spacing  Intensity (counts)
         1.96016             0.0
         1.96055             0.0
         1.96094             0.0
         1.96133             0.0
         1.96173         12.1791
         1.96212         3249.82
         1.96251         2814.26
         1.96291          4335.8
          1.9633         2147.38
         1.96369         167.561
         1.96408         5.99387
         1.96448         468.949
         1.96487         1452.97
         1.96526         638.107
         1.96566          1490.3
         1.96605         3467.61
         1.96644         2267.93
         1.96683         389.729
         1.96723             0.0
         1.96762         2045.43
         1.96801         499.963
         1.96841         1370.79
          1.9688          1174.6
         1.96919             0.0
         1.96958             0.0
         1.96998             0.0
         1.97037             0.0
         1.97077             0.0
         1.97116         38.1878
         1.97156         3222.73
         1.97195         1603.65
         1.97235         201.022
         1.97274         23.0433
         1.97314          1838.5
         1.97353         2441.22
         1.97393         1084.41
         1.97432         1520.44
         1.97472         690.776
         1.97511             0.0
         1.97551         27.7945
          1.9759         1963.95
          1.9763         541.049
         1.97669             0.0
         1.97709         32.3682
         1.97748         2194.98
         1.97788         2838.24
         1.97827             0.0
         1.97867         2163.92
         1.97906         367.056
         1.97946         2.10791
         1.97985         206.642
         1.98025         1565.51
         1.98065         840.531
         1.98104         2817.96
         1.98144         2128.21
         1.98184             0.0
         1.98223         14.0021
         1.98263         1124.72
         1.98303         1107.56
         1.98343          274.04
         1.98382             0.0
         1.98422         2383.63
         1.98462         136.693
         1.98501             0.0
         1.98541             0.0
         1.98581         2758.61
          1.9862         2778.22
          1.9866         1791.37
           1.987         2091.04
         1.98739         1874.85
         1.98779         1345.28
         1.98819         2433.32
         1.98858         49.2395
         1.98898             0.0
         1.98938             0.0
         1.98978             0.0
         1.99018             0.0
         1.99057             0.0
         1.99097          785.12
         1.99137         1722.85
         1.99177         2331.71
         1.99217         2020.57
         1.99257         1084.72
         1.99297         1454.27
         1.99337         632.632
         1.99376         4.66298
         1.99416         2755.54
         1.99456          2697.4
         1.99496         2233.98
         1.99536         2340.27
         1.99576             0.0
         1.99616         942.915
         1.99656         2512.62
         1.99695          1560.4
         1.99735             0.0
         1.99775         434.222
         1.99815          4403.7
         1.99855         178.008
         1.99895             0.0
         1.99935             0.0
         1.99975         574.054
         2.00015         1921.68
         2.00055             0.0
         2.00095         2333.46
         2.00135         162.276
         2.00175             0.0
         2.00215             0.0
         2.00255         24.0957
         2.00296          1890.9
         2.00336         3046.79
         2.00376         4448.48
         2.00416         3820.64
         2.00456         1743.48
         2.00496             0.0
         2.00536         23.2645
         2.00576         1619.69
         2.00616          852.78
         2.00656             0.0
         2.00696             0.0
         2.00736         10.3978
         2.00776         690.315
         2.00816         3323.14
         2.00856         964.595
         2.00897          177.45
         2.00937         2304.49
         2.00977             0.0
         2.01018          139.31
         2.01058         2344.31
         2.01098             0.0
         2.01138             0.0
         2.01179         1708.77
         2.01219         777.074
         2.01259         197.435
         2.01299         1958.39
          2.0134         2187.09
          2.0138         1104.14
          2.0142         2615.99
          2.0146         1645.85
         2.01501         223.347
         2.01541         892.122
         2.01581         2035.83
         2.01621         1755.13
         2.01662         2200.18
         2.01702          3051.2
         2.01742         1986.19
         2.01783         3436.78
         2.01823         2687.12
         2.01863         4281.26
         2.01904         3028.74
         2.01944         1846.08
         2.01985         7982.27
         2.02025         2907.17
         2.02066          2078.6
         2.02106         3227.59
         2.02146         1180.81
         2.02187         5944.72
         2.02227         7956.42
         2.02268         5841.89
         2.02308         2223.78
         2.02349         8845.43
         2.02389         12422.7
          2.0243         10645.2
          2.0247         10063.3
         2.02511         13561.6
         2.02551         15950.0
         2.02592         9156.49
         2.02632         10015.8
         2.02672         15997.1
         2.02713         17521.3
         2.02753         18665.7
         2.02794         15452.1
         2.02834         12839.7
         2.02875         15391.4
         2.02916         11622.6
         2.02956         14225.3
         2.02997         12507.3
         2.03038         10577.8
         2.03078         17563.6
         2.03119         14094.0
          2.0316         17965.4
           2.032         19558.6
         2.03241         17166.8
         2.03282         9296.32
         2.03322         4517.82
         2.03363         9404.79
         2.03404         5487.03
         2.03444         10797.6
         2.03485         8921.16
         2.03526         4585.99
         2.03566         6841.59
